api_name,api_type,specs,version_added
AnalyserNode.getByteFrequencyData,Method,Web Audio API,12
AnalyserNode.getByteTimeDomainData,Method,Web Audio API,12
AnalyserNode.getFloatFrequencyData,Method,Web Audio API,12
AnalyserNode.getFloatTimeDomainData,Method,Web Audio API,12
AnalyserNode.fftSize,Property,Web Audio API,12
AnalyserNode.frequencyBinCount,Property,Web Audio API,12
AnalyserNode.maxDecibels,Property,Web Audio API,12
AnalyserNode.minDecibels,Property,Web Audio API,12
AnalyserNode.smoothingTimeConstant,Property,Web Audio API,12
AnalyserNode,Interface,Web Audio API,12
AudioBuffer.getChannelData,Method,Web Audio API,12
AudioBuffer.duration,Property,Web Audio API,12
AudioBuffer.length,Property,Web Audio API,12
AudioBuffer.numberOfChannels,Property,Web Audio API,12
AudioBuffer.sampleRate,Property,Web Audio API,12
AudioBufferSourceNode.end,Event,Web Audio API,12
AudioBufferSourceNode.start,Method,Web Audio API,12
AudioBufferSourceNode.stop,Method,Web Audio API,12
AudioBufferSourceNode.buffer,Property,Web Audio API,12
AudioBufferSourceNode.loopEnd,Property,Web Audio API,12
AudioBufferSourceNode.loopStart,Property,Web Audio API,12
AudioBufferSourceNode.loop,Property,Web Audio API,12
AudioBufferSourceNode.onended,Property,Web Audio API,12
AudioBufferSourceNode.playbackRate,Property,Web Audio API,12
AudioBufferSourceNode,Interface,Web Audio API,12
AudioBuffer,Interface,Web Audio API,12
AudioContext.createAnalyser,Method,Web Audio API,12
AudioContext.createBiquadFilter,Method,Web Audio API,12
AudioContext.createBufferSource,Method,Web Audio API,12
AudioContext.createBuffer,Method,Web Audio API,12
AudioContext.createChannelMerger,Method,Web Audio API,12
AudioContext.createChannelSplitter,Method,Web Audio API,12
AudioContext.createConvolver,Method,Web Audio API,12
AudioContext.createDelay,Method,Web Audio API,12
AudioContext.createDynamicsCompressor,Method,Web Audio API,12
AudioContext.createGain,Method,Web Audio API,12
AudioContext.createMediaElementSource,Method,Web Audio API,12
AudioContext.createMediaStreamSource,Method,Web Audio API,12
AudioContext.createOscillator,Method,Web Audio API,12
AudioContext.createPanner,Method,Web Audio API,12
AudioContext.createPeriodicWave,Method,Web Audio API,12
AudioContext.createScriptProcessor,Method,Web Audio API,12
AudioContext.createStereoPanner,Method,Web Audio API,12
AudioContext.createWaveShaper,Method,Web Audio API,12
AudioContext.decodeAudioData,Method,Web Audio API,12
AudioContext.currentTime,Property,Web Audio API,12
AudioContext.destination,Property,Web Audio API,12
AudioContext.listener,Property,Web Audio API,12
AudioContext.sampleRate,Property,Web Audio API,12
AudioContext,Interface,Web Audio API,12
AudioDestinationNode.maxChannelCount,Property,Web Audio API,12
AudioDestinationNode,Interface,Web Audio API,12
AudioListener.setOrientation,Method,Web Audio API,12
AudioListener.setPosition,Method,Web Audio API,12
AudioListener.setVelocity,Method,Web Audio API,12
AudioListener.dopplerFactor,Property,Web Audio API,12
AudioListener.speedOfSound,Property,Web Audio API,12
AudioListener,Interface,Web Audio API,12
AudioNode.connect,Method,Web Audio API,12
AudioNode.disconnect,Method,Web Audio API,12
AudioNode.channelCountMode,Property,Web Audio API,12
AudioNode.channelCount,Property,Web Audio API,12
AudioNode.channelInterpretation,Property,Web Audio API,12
AudioNode.context,Property,Web Audio API,12
AudioNode.numberOfInputs,Property,Web Audio API,12
AudioNode.numberOfOutputs,Property,Web Audio API,12
AudioNode,Interface,Web Audio API,12
AudioParam.cancelScheduledValues,Method,Web Audio API,12
AudioParam.exponentialRampToValueAtTime,Method,Web Audio API,12
AudioParam.linearRampToValueAtTime,Method,Web Audio API,12
AudioParam.setTargetAtTime,Method,Web Audio API,12
AudioParam.setValueAtTime,Method,Web Audio API,12
AudioParam.setValueCurveAtTime,Method,Web Audio API,12
AudioParam.defaultValue,Property,Web Audio API,12
AudioParam.value,Property,Web Audio API,12
AudioParam,Interface,Web Audio API,12
AudioProcessingEvent.inputBuffer,Property,Web Audio API,12
AudioProcessingEvent.outputBuffer,Property,Web Audio API,12
AudioProcessingEvent.playbackTime,Property,Web Audio API,12
AudioProcessingEvent,Interface,Web Audio API,12
BiquadFilterNode.getFrequencyResponse,Method,Web Audio API,12
BiquadFilterNode.Q,Property,Web Audio API,12
BiquadFilterNode.detune,Property,Web Audio API,12
BiquadFilterNode.frequency,Property,Web Audio API,12
BiquadFilterNode.gain,Property,Web Audio API,12
BiquadFilterNode.type,Property,Web Audio API,12
BiquadFilterNode,Interface,Web Audio API,12
ChannelMergerNode,Interface,Web Audio API,12
ChannelSplitterNode,Interface,Web Audio API,12
ConvolverNode.buffer,Property,Web Audio API,12
ConvolverNode.normalize,Property,Web Audio API,12
ConvolverNode,Interface,Web Audio API,12
DelayNode.delayTime,Property,Web Audio API,12
DelayNode,Interface,Web Audio API,12
DynamicsCompressorNode.attack,Property,Web Audio API,12
DynamicsCompressorNode.knee,Property,Web Audio API,12
DynamicsCompressorNode.ratio,Property,Web Audio API,12
DynamicsCompressorNode.reduction,Property,Web Audio API,12
DynamicsCompressorNode.release,Property,Web Audio API,12
DynamicsCompressorNode.threshold,Property,Web Audio API,12
DynamicsCompressorNode,Interface,Web Audio API,12
GainNode.gain,Property,Web Audio API,12
GainNode,Interface,Web Audio API,12
MediaElementAudioSourceNode,Interface,Web Audio API,12
MediaStreamAudioSourceNode,Interface,Web Audio API,12
OfflineAudioCompletionEvent.renderedBuffer,Property,Web Audio API,12
OfflineAudioCompletionEvent,Interface,Web Audio API,12
OfflineAudioContext.complete,Event,Web Audio API,12
OfflineAudioContext.startRendering,Method,Web Audio API,12
OfflineAudioContext.oncomplete,Property,Web Audio API,12
OfflineAudioContext,Interface,Web Audio API,12
OscillatorNode.end,Event,Web Audio API,12
OscillatorNode.setPeriodicWave,Method,Web Audio API,12
OscillatorNode.start,Method,Web Audio API,12
OscillatorNode.stop,Method,Web Audio API,12
OscillatorNode.detune,Property,Web Audio API,12
OscillatorNode.frequency,Property,Web Audio API,12
OscillatorNode.onended,Property,Web Audio API,12
OscillatorNode.type,Property,Web Audio API,12
OscillatorNode,Interface,Web Audio API,12
PannerNode.setOrientation,Method,Web Audio API,12
PannerNode.setPosition,Method,Web Audio API,12
PannerNode.setVelocity,Method,Web Audio API,12
PannerNode.coneInnerAngle,Property,Web Audio API,12
PannerNode.coneOuterAngle,Property,Web Audio API,12
PannerNode.coneOuterGain,Property,Web Audio API,12
PannerNode.distanceModel,Property,Web Audio API,12
PannerNode.maxDistance,Property,Web Audio API,12
PannerNode.panningModel,Property,Web Audio API,12
PannerNode.refDistance,Property,Web Audio API,12
PannerNode.rolloffFactor,Property,Web Audio API,12
PannerNode,Interface,Web Audio API,12
PeriodicWave,Interface,Web Audio API,12
ScriptProcessorNode.audioprocess,Event,Web Audio API,12
ScriptProcessorNode.bufferSize,Property,Web Audio API,12
ScriptProcessorNode.onaudioprocess,Property,Web Audio API,12
ScriptProcessorNode,Interface,Web Audio API,12
StereoPannerNode.pan,Property,Web Audio API,12
StereoPannerNode,Interface,Web Audio API,12
WaveShaperNode.curve,Property,Web Audio API,12
WaveShaperNode.oversample,Property,Web Audio API,12
WaveShaperNode,Interface,Web Audio API,12
AnimationEvent.initAnimationEvent,Method,CSS Animations,12
AnimationEvent.animationName,Property,CSS Animations,12
AnimationEvent.elapsedTime,Property,CSS Animations,12
AnimationEvent,Interface,CSS Animations,12
CSSKeyframeRule.keyText,Property,CSS Animations,12
CSSKeyframeRule.style,Property,CSS Animations,12
CSSKeyframeRule,Interface,CSS Animations,12
CSSKeyframesRule.appendRule,Method,CSS Animations,12
CSSKeyframesRule.deleteRule,Method,CSS Animations,12
CSSKeyframesRule.findRule,Method,CSS Animations,12
CSSKeyframesRule.cssRules,Property,CSS Animations,12
CSSKeyframesRule.name,Property,CSS Animations,12
CSSKeyframesRule,Interface,CSS Animations,12
CSS.supports,Method,CSS Conditional Rules ,12
CSSConditionRule.conditionText,Property,CSS Conditional Rules ,12
CSSConditionRule,Interface,CSS Conditional Rules ,12
CSSGroupingRule.deleteRule,Method,CSS Conditional Rules ,12
CSSGroupingRule.insertRule,Method,CSS Conditional Rules ,12
CSSGroupingRule.cssRules,Property,CSS Conditional Rules ,12
CSSGroupingRule,Interface,CSS Conditional Rules ,12
CSSMediaRule.media,Property,CSS Conditional Rules ,12
CSSMediaRule,Interface,CSS Conditional Rules ,12
CSSSupportsRule,Interface,CSS Conditional Rules ,12
CSS,Interface,CSS Conditional Rules ,12
CSSFontFaceRule.style,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSFontFaceRule,Interface,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSImportRule.href,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSImportRule.media,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSImportRule.styleSheet,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSImportRule,Interface,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSNamespaceRule.namespaceURI,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSNamespaceRule.prefix,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSNamespaceRule,Interface,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSPageRule.pseudoClass,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSPageRule.selectorText,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSPageRule.selector,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSPageRule.style,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSPageRule,Interface,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSRule.cssText,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSRule.parentRule,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSRule.parentStyleSheet,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSRule.type,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSRuleList.item,Method,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSRuleList.length,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSRuleList,Interface,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSRule,Interface,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSStyleDeclaration.getPropertyPriority,Method,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSStyleDeclaration.getPropertyValue,Method,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSStyleDeclaration.item,Method,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSStyleDeclaration.removeProperty,Method,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSStyleDeclaration.setProperty,Method,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSStyleDeclaration.alignContent,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSStyleDeclaration.alignItems,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
CSSStyleDeclaration.alignSelf,Property,"CSS View Module, Document Object Model (DOM) Level 2 Style ",12
